"Duration (in seconds)","Finished","RecordedDate","age","prev.participant","diet_1","diet_2","diet_9","diet_3","diet_4","diet_5","diet_10","diet_6","diet_7","diet_8","diet_7_TEXT","happy","bored","proud","angry","hopeful","red.open","elim.open","control.open","speciesism_1","speciesism_2","speciesism_3","speciesism_4","speciesism_5","speciesism_6","gender","gender_3_TEXT","status","status_5_TEXT","elim.pledge","red.pledge","ID","notes_7","notes_1","notes_2","notes_3","notes_4","notes_5","notes_6","notes_3_TEXT","notes_4_TEXT","notes_5_TEXT","notes_6_TEXT","excluded","condition","date","purchase","meatveg","meatveg2"
695,TRUE,"9/13/2019 12:29",22,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat unhappy","Neither energized nor bored","Neither ashamed nor proud","Neither calm nor angry","Somewhat despairing",NA,NA,"I prefer variety.","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","I don’t see myself represented in the above options. My gender is:","Other/gender non binary","Carleton undergraduate student",NA,"No, thanks",NA,"WB003C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","13-Sep","FP","veg","vegprot"
542,TRUE,"9/13/2019 12:39",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Happy","Somewhat bored","Neither ashamed nor proud","Somewhat calm","Somewhat hopeful",NA,NA,"Preference on how they feel","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","WB004C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge",NA,NA,NA,NA
355,TRUE,"9/13/2019 12:58",18,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Somewhat proud","Very calm","Somewhat hopeful","Movements have begun to grow and people can no longer ignore issues that have clear effect on their daily lives as well. The overconsumption of meat has become more apparent with the increase in population too, bit of a fear factor",NA,NA,"Strongly disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","WB005C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
458,TRUE,"9/13/2019 13:10",24,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat bored","Somewhat ashamed","Very calm","Neither despairing nor hopeful",NA,"Some animals are growing in a dirty environment and many meat producers use chemicals.",NA,"Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Disagree","Woman",NA,"Carleton graduate student",NA,"No, thanks",NA,"WB006C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate",NA,NA,NA,NA
521,TRUE,"9/13/2019 13:20",26,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,"Other (please specify)",NA,"Halal","Happy","Somewhat energized","Somewhat proud","Somewhat calm","Somewhat hopeful",NA,NA,"It depends on their goal diet and their achievements
","Somewhat agree","Strongly disagree","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","WB007C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with reduce pledge","13-Sep","FP","veg","vegprot"
306,TRUE,"9/13/2019 13:32",21,"No, I promise that I haven’t done this before","Food allergy (nuts, shellfish, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful",NA,NA,"Taste and hunger. Variety
","Agree","Somewhat disagree","Disagree","Agree","Agree","Somewhat agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"CD008C","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge",NA,NA,NA,NA
399,TRUE,"9/13/2019 13:41",18,"Not sure",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Somewhat angry","Somewhat hopeful",NA,"They understand that going meat free helps not only their health, but the planet. By ending slaughter ""houses"" they're affectively saving the ecosystem and the future of human kind.",NA,"Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"TL009T","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eliminate","13-Sep","CS","meat","poultry"
425,TRUE,"9/13/2019 13:52",19,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Neither energized nor bored","Somewhat ashamed","Neither calm nor angry","Somewhat despairing","Many people didn't know the risk of animal suffering maybe?",NA,NA,"Neither agree nor disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Woman",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","PN010L","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
392,TRUE,"9/13/2019 14:09",20,"No, I promise that I haven’t done this before",NA,NA,NA,NA,NA,NA,NA,NA,NA,"None of the Above",NA,"Neither unhappy nor happy","Somewhat energized","Neither ashamed nor proud","Very calm","Neither despairing nor hopeful","People are beginning to change their diet because they are being aware of the consequences of consuming meat.",NA,NA,"Somewhat disagree","Disagree","Strongly disagree","Disagree","Neither agree nor disagree","Disagree","I don’t see myself represented in the above options. My gender is:",NA,"Carleton undergraduate student",NA,NA,"Yes, I will pledge to reduce the amount of meat that I eat","QTO11P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reduce",NA,NA,NA,NA
354,TRUE,"9/13/2019 14:18",18,"No, I promise that I haven’t done this before",NA,NA,"Halal or Kosher",NA,NA,NA,NA,NA,NA,NA,NA,"Happy","Somewhat energized","Neither ashamed nor proud","Very calm","Somewhat hopeful",NA,NA,"People stick to types of food for various reasons like religion, health","Agree","Strongly disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Agree","Man",NA,"Carleton undergraduate student",NA,"No, thanks",NA,"LT012P","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control with elim pledge","13-Sep","TOFU","veg","vegprot"
